row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,delivery_days,order_year,order_month,order_month_name,order_quarter,order_day,type_of_day
1,ca-2017-152156,2017-11-08,2017-11-11,second class,cg-12520,claire gute,consumer,henderson,kentucky,42420.0,south,fur-bo-10001798,furniture,bookcases,bush somerset collection bookcase,261.96,3,2017,11,nov,2017q4,wednesday,Weekday
2,ca-2017-152156,2017-11-08,2017-11-11,second class,cg-12520,claire gute,consumer,henderson,kentucky,42420.0,south,fur-ch-10000454,furniture,chairs,"hon deluxe fabric upholstered stacking chairs, rounded back",731.94,3,2017,11,nov,2017q4,wednesday,Weekday
3,ca-2017-138688,2017-06-12,2017-06-16,second class,dv-13045,darrin van huff,corporate,los angeles,california,90036.0,west,off-la-10000240,office supplies,labels,self-adhesive address labels for typewriters by universal,14.62,4,2017,6,jun,2017q2,monday,Weekday
4,us-2016-108966,2016-10-11,2016-10-18,standard class,so-20335,sean o'donnell,consumer,fort lauderdale,florida,33311.0,south,fur-ta-10000577,furniture,tables,bretford cr4500 series slim rectangular table,957.5775,7,2016,10,oct,2016q4,tuesday,Weekday
5,us-2016-108966,2016-10-11,2016-10-18,standard class,so-20335,sean o'donnell,consumer,fort lauderdale,florida,33311.0,south,off-st-10000760,office supplies,storage,eldon fold 'n roll cart system,22.368,7,2016,10,oct,2016q4,tuesday,Weekday
6,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,los angeles,california,90032.0,west,fur-fu-10001487,furniture,furnishings,"eldon expressions wood and plastic desk accessories, cherry wood",48.86,5,2015,6,jun,2015q2,tuesday,Weekday
7,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,los angeles,california,90032.0,west,off-ar-10002833,office supplies,art,newell 322,7.28,5,2015,6,jun,2015q2,tuesday,Weekday
8,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,los angeles,california,90032.0,west,tec-ph-10002275,technology,phones,mitel 5320 ip phone voip phone,907.152,5,2015,6,jun,2015q2,tuesday,Weekday
9,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,los angeles,california,90032.0,west,off-bi-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,18.504,5,2015,6,jun,2015q2,tuesday,Weekday
10,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,los angeles,california,90032.0,west,off-ap-10002892,office supplies,appliances,belkin f5c206vtel 6 outlet surge,114.9,5,2015,6,jun,2015q2,tuesday,Weekday
11,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,los angeles,california,90032.0,west,fur-ta-10001539,furniture,tables,chromcraft rectangular conference tables,1706.184,5,2015,6,jun,2015q2,tuesday,Weekday
12,ca-2015-115812,2015-06-09,2015-06-14,standard class,bh-11710,brosina hoffman,consumer,los angeles,california,90032.0,west,tec-ph-10002033,technology,phones,konftel 250 conference phone - charcoal black,911.424,5,2015,6,jun,2015q2,tuesday,Weekday
13,ca-2018-114412,2018-04-15,2018-04-20,standard class,aa-10480,andrew allen,consumer,concord,north carolina,28027.0,south,off-pa-10002365,office supplies,paper,xerox 1967,15.552,5,2018,4,apr,2018q2,sunday,Weekday
14,ca-2017-161389,2017-12-05,2017-12-10,standard class,im-15070,irene maddox,consumer,seattle,washington,98103.0,west,off-bi-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,5,2017,12,dec,2017q4,tuesday,Weekday
15,us-2016-118983,2016-11-22,2016-11-26,standard class,hp-14815,harold pawlan,home office,fort worth,texas,76106.0,central,off-ap-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81,4,2016,11,nov,2016q4,tuesday,Weekday
16,us-2016-118983,2016-11-22,2016-11-26,standard class,hp-14815,harold pawlan,home office,fort worth,texas,76106.0,central,off-bi-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,4,2016,11,nov,2016q4,tuesday,Weekday
17,ca-2015-105893,2015-11-11,2015-11-18,standard class,pk-19075,pete kriz,consumer,madison,wisconsin,53711.0,central,off-st-10004186,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88,7,2015,11,nov,2015q4,wednesday,Weekday
18,ca-2015-167164,2015-05-13,2015-05-15,second class,ag-10270,alejandro grove,consumer,west jordan,utah,84084.0,west,off-st-10000107,office supplies,storage,fellowes super stor/drawer,55.5,2,2015,5,may,2015q2,wednesday,Weekday
19,ca-2015-143336,2015-08-27,2015-09-01,second class,zd-21925,zuschuss donatelli,consumer,san francisco,california,94109.0,west,off-ar-10003056,office supplies,art,newell 341,8.56,5,2015,8,aug,2015q3,thursday,Weekday
20,ca-2015-143336,2015-08-27,2015-09-01,second class,zd-21925,zuschuss donatelli,consumer,san francisco,california,94109.0,west,tec-ph-10001949,technology,phones,cisco spa 501g ip phone,213.48,5,2015,8,aug,2015q3,thursday,Weekday
21,ca-2015-143336,2015-08-27,2015-09-01,second class,zd-21925,zuschuss donatelli,consumer,san francisco,california,94109.0,west,off-bi-10002215,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72,5,2015,8,aug,2015q3,thursday,Weekday
22,ca-2017-137330,2017-12-09,2017-12-13,standard class,kb-16585,ken black,corporate,fremont,nebraska,68025.0,central,off-ar-10000246,office supplies,art,newell 318,19.46,4,2017,12,dec,2017q4,saturday,Weekday
23,ca-2017-137330,2017-12-09,2017-12-13,standard class,kb-16585,ken black,corporate,fremont,nebraska,68025.0,central,off-ap-10001492,office supplies,appliances,"acco six-outlet power strip, 4' cord length",60.34,4,2017,12,dec,2017q4,saturday,Weekday
